"","transcript","GSM3323389","GSM3323390","GSM3566403","GSM3566404","GSM3566405","GSM3566400","GSM3566402","GSM3566401","GSM3889078","GSM3889094","GSM3889079","GSM3889085","GSM3889093","GSM3889088","GSM3889096","GSM3889080","GSM3889077","GSM3889087","GSM3889086","GSM3889095","GSM1331342","GSM1331344","GSM2722301","GSM3753501","GSM3753514","GSM3753520","GSM3753519","GSM3753502","GSM3753515","GSM3753511","GSM3753507","GSM3753510","GSM3753506","GSM4886541","GSM4886543","GSM4886542","GSM1479598","GSM3984257","GSM3984249","GSM3984247","GSM3984255","GSM2563632","GSM2563629","GSM2563631","GSM2563630","GSM3454277","GSM3454276","GSM3454274","GSM3454278","GSM3454275","GSM1606114","GSM1606110","GSM1606109","GSM1606113","GSM1606108","GSM1606107","GSM1606112","GSM1606111","GSM5291876","GSM5291909","GSM5291868","GSM5291880","GSM5291916","GSM5291893","GSM5291912","GSM5291889","GSM5291869","GSM5291921","GSM5291881","GSM5291884","GSM5291924","GSM5291931","GSM5291932","GSM5291917","GSM5291928","GSM5291873","GSM5291930","GSM5291872","GSM5291901","GSM5291896","GSM5291929","GSM5291933","GSM5291885","GSM5291925","GSM5291908","GSM5291900","GSM5291892","GSM5291920","GSM5291888","GSM5291897","GSM5291913","GSM5291877","GSM5291904","GSM5291905","GSM3595799","GSM3595798","GSM3595796","GSM3595797"
"1","NOC2L",-0.122207098496489,-0.0938311322072877,0.849621502051806,0.79500312061766,0.779168766844725,1.51237725787587,0.399717750905543,1.3020901493308,0.3791175331515,0.302828632868292,0.135720678003145,0.126891380296227,0.129600651291944,0.0423192894442759,0.148608793168006,0.346471979965191,0.409976040247041,0.11589175992919,0.389084862977808,0.00646531345789811,-0.134459259874199,0.462149932867537,0.184583843280755,0.50417991751059,0.273125222171251,0.914829473407106,0.952927017153629,0.479447052366365,0.350710659299459,0.952539810913197,0.221785286812852,1.04894355322471,0.303913502012884,1.34949253734513,0.746610778160408,0.778305977973391,0.432595469833752,0.712747934655222,0.359591496339845,0.586928916476657,0.819631981483111,0.274612414367444,-0.435408585351879,0.219415914603167,-0.368360522288059,0.782277817026229,0.881829197932384,0.393902702676735,0.688111925744995,0.75648656639296,0.963792848547349,1.18442732397385,1.0315131840292,0.926223002132061,1.15933296240091,1.07520456226498,1.07216554842528,1.21089409250328,0.600617283270924,0.94544769388413,0.544777317915003,0.648102619389615,0.78496929714587,0.252594353365188,0.808643093905072,0.311676349806978,0.529377694953108,0.585018126042822,0.339646146922897,0.558023440465984,0.610753547797901,0.460257977738929,0.522130655242243,0.70390514948676,0.311684047559564,0.305180187271578,0.273283382640442,0.418282397987501,0.923474336828681,0.29105998591302,0.322404290009499,0.300540655016332,0.470304607581999,0.561209441078931,0.992663538317199,0.912665567301246,0.430130260238848,0.652358038038294,0.572754468309183,0.130691170989761,0.634655257186842,0.37396654649216,1.06686891138326,0.80482160614366,0.826327813333794,1.00746070337415,0.832592042589699,0.818509444837844
"2","ISG15",-2.32738289932358,-3.30579590640574,-0.534291380486271,-2.0351369133137,-0.850097336148185,-1.47717531314058,-1.70034001559763,-1.20296286270039,-0.318163836497536,0.294878736424496,-0.449851242180787,-0.829838321154502,-1.34744430144958,0.88928071354191,0.769881977370874,0.203053157178452,-1.47326652640402,-1.46309809943895,-0.972694027619906,-0.478597165456724,-1.03942433066479,0.318279772217752,0.751141152278295,-2.78728052117167,-1.59563681211641,-0.191164568897245,-0.375464382987859,-2.5954200249133,-1.06712723451029,-1.11813994752099,-1.45062315607663,-1.06115936700812,-1.87494413669769,1.26057879831676,1.02597469483865,0.781711417652001,-0.996019529473945,-0.533451920405303,-1.6195822389446,-1.20632513495421,-1.15711379675307,-0.587688236666353,-0.843434894462148,-0.629297281670297,-0.904290861875819,-1.10717111855608,0.252406557924922,-0.0666752739897139,0.202877829600063,-0.0734574134429903,-2.38727779470197,-2.55159936722827,-1.56225317966155,-1.76240404071298,-2.19839339251739,-2.13246079093918,-0.882484397886478,-1.44206300363099,-1.5201823212467,-1.34016117820222,-1.8739664496509,-1.70664697623597,-2.07284481242064,-2.18286554686526,0.441019426442106,-2.35432633089656,-1.41590387493047,-2.50787920722341,-1.79002358018743,-1.23980579484692,-1.2708936828698,-2.9691200510773,-2.47380335465197,-2.31187255729277,-0.459206590839764,-1.61891866284905,-2.5856645736892,-2.62371270044178,-2.56202073108397,-1.97183512191138,0.318353827302716,-2.63800100344672,-0.699728565155409,-1.5224444216493,-2.05892459496963,-2.6542234098789,-2.09092525919854,-3.19624210865446,-2.30169365709385,-2.09169508383205,-2.12675239326724,-1.4071671172669,-1.44404953395291,-2.33189652873737,-2.83705751325124,-2.9197011647966,-3.01172323252217,-2.11113899332738
"3","AGRN",-1.25174029953574,-1.47744279733235,-0.26717335785018,-2.16638700979891,-0.366741105432123,0.423699907733556,-1.03308501034739,0.389271855724321,0.10225025165663,-0.739463296231983,-2.32466615024511,-0.174710103881959,-0.468428492359033,-0.570262467686129,-1.77377724489063,-1.71885862023238,-0.0576124089946587,-0.487579817279527,0.143556468294679,-2.07753905998083,-1.53671324784974,-0.668526609497859,0.989485213697405,1.16515141502061,0.364224495894207,-0.0884587558331067,-0.066718650274438,1.27004726596361,0.617447615955929,0.172546012996336,-0.171301219855243,0.321119769950885,-0.441076753602837,1.96837175718236,1.30522097653632,1.02875627595716,0.490624747917054,1.11652566031159,1.4362407740473,1.15073143512049,1.19974167487313,-0.451853896971137,-0.877116770324707,-0.436495252604613,-1.03969735289978,0.643969609156637,0.754072104501955,-1.18551242871719,0.675141470510697,-0.156744545110567,0.221240500406626,0.361447560893551,0.407388223115337,0.588852642998707,0.506326898941429,0.0677426893439661,0.051197176991088,0.624351901906445,-1.04939401378837,-2.05367100323254,-1.4218219416492,-0.982426446554131,-4.82245348070889,-1.21196206802967,-1.94965451217744,-1.36677528003218,-1.24370081718418,-5.10122958652243,-0.98116031536585,-1.29394977766016,-1.98158835763558,-1.10686012858437,-3.41422451115754,-4.51890081639633,-1.21588608100648,-1.02962376905762,-0.854679768723068,-1.12011467214743,-4.94042650313996,-1.32986031011499,-0.943384065578236,-3.29099955898991,-0.87984039584841,-4.27983411267057,-4.73610318773462,-5.00207052080407,-1.20855718011467,-2.50158120817112,-1.42705284133972,-1.11179227896811,-2.42099716573538,-1.07552280730485,-4.18530987286132,-2.51269560737888,0.0794105392747084,0.165762362903287,0.0535330508444672,0.00373215663772261
"4","C1orf159",-0.818777800953076,-1.03592522064453,0.478913081531775,0.887183791083906,0.602470247057134,1.9519358748638,0.879786235857391,1.05578461128097,0.181577335389627,0.770718500685851,-0.168055451224725,-0.363599544865235,0.0878930505033158,1.1768652376658,0.732074594352488,0.254217082911967,0.477549007749471,-0.158093625878951,0.658340370746909,-0.308175640644733,-2.65443597529635,-1.5476228747458,0.952135485183081,-0.488825316207073,-0.214711421380142,-0.228472168060911,-0.375905693043563,0.433113069296093,-0.210382944197713,-0.086693286638715,-0.357248875370809,-0.550944894249861,-0.803975471066051,1.45189421190509,0.373442937878623,0.972474289763757,0.539470534790151,-1.10518617986206,-4.42321379533474,-1.02982863438725,-1.52229150306364,0.155491763738165,-0.974320926604757,0.268130705525046,-0.338609593729609,-0.338987873672734,-0.294844061624384,-0.787223420093507,-0.680562341259711,-0.0552021114924143,-0.444214012608991,-0.418286129717377,0.243750058284415,-0.551320690322376,-0.0639810177668476,-0.293650837418437,0.235594321650506,-0.115229057031208,-0.80224771590261,-0.704512235510495,-0.993120973289257,-0.685282103314938,-0.17812400740168,-0.711963610451265,-0.851357269413555,-0.752598685181952,-0.12607134558269,-0.0440125280751316,-0.46434858451533,-0.634833489177499,-0.00813268516167907,-0.128373556437597,-4.24251365500754,0.234855334178396,-0.886638227293902,-0.520436500247413,-3.77522713423171,-0.929405314488109,-0.319019620434125,-1.09160586253429,0.333477824498644,0.0728408273254123,-0.276671041449484,-0.365571216712595,-0.871777440746424,-0.0936242552453258,-0.728773628129271,-0.446788489825162,-0.793814175602986,-0.843961919713869,-0.718352976447355,-0.859421184603967,-0.571033017002896,-0.360928098657892,-1.51273136098259,-1.22120703027426,-1.11563059879523,-0.967349922968583
"5","SDF4",-0.270764990564191,-0.194244801871434,0.536245017214281,0.693477415206335,0.636792825193458,1.14384472522171,0.399286832682557,0.886766593423917,0.464612935683897,0.182453195886883,0.565187237578945,0.410846466712478,0.335668879261526,0.822991552098884,0.630301300418054,1.239021410422,0.514012777829603,0.532891545734033,0.312947018353579,0.314000763064124,0.00495135246394285,-0.515424565799894,0.0882176919896007,1.12795938520797,0.762043986032599,0.591929085911703,0.744950809478926,1.15558186764072,0.757520697170597,0.843119881810094,0.27681892481089,0.770858652623241,0.25773350778652,1.31408635821006,0.991631715027264,0.818637817280549,-0.0124592762053182,0.671377877654932,0.609418443924844,-0.0473621042330264,0.639971329476973,0.348587385527672,-0.244894948713371,0.538372553918349,-0.278950719552124,0.335711471084716,0.427624018633899,0.176508890613,0.420476343167386,0.384573164747726,0.354332128047058,0.537412050360611,0.342424225519167,0.370977366508763,0.508111756261268,0.341373493403369,0.0321651518551793,0.356387021161425,0.339426909320472,0.158841101697282,0.422799569468325,0.381056634599169,-0.020110678766148,0.0287349034620298,0.0734344078619592,-0.00691408226967975,0.262653124559111,0.164758443943581,0.170065554133627,0.230462632665507,-0.238454999393402,0.149524153352595,0.395508572446015,0.320683572958568,0.252275640172609,0.0531582853766717,0.261615694194541,0.202743865159924,-0.0623855336799971,-0.0271422965754308,0.659455354942639,0.361922320504869,0.238111153704014,-0.0586158069395203,0.460715111440346,-0.0860918735041807,0.16773986806547,-0.0590121184176581,0.225640173217999,-0.165586098411481,0.0770892710918463,0.103684300449511,0.783181919739014,0.142661346726508,0.277789301263269,0.370347012404579,0.301360934453527,0.367726544096354
"6","B3GALT6",-0.0415252981815548,-0.374958724890408,-0.127666180664201,-0.238721276847032,-0.0194317247007865,0.416570116020389,-0.33257339781263,0.434208968491661,-0.389678857993896,0.508922520553075,-0.939979408832056,-0.823288052497703,-0.197530227821039,-0.862773493742132,-0.00379194942295379,-0.410256720814475,-0.784330481207602,-1.06424723183846,-0.770138299482254,-0.0953684830584132,0.399876763536671,-2.93340807462563,-0.106013074933339,-0.76873669955553,-0.418885814528125,-0.232899199586802,-0.106789709886614,-0.737663110053453,-0.547220675371116,-0.331187193395104,-0.735850608807155,-0.365786932915088,-1.18922757238052,2.61926536144977,2.28896302220336,1.25575393491546,-0.408386892571337,-0.255744126207445,-0.717235581944786,-0.0243166810383793,-0.116188957030544,-0.838650204323304,-1.58129716667552,-0.156623440960875,-1.6316072757198,0.280234459046266,0.371743942101403,-0.866991165037946,0.42739850073509,-0.0595263890234467,0.0640272958479052,0.620751203425966,0.637985237530043,0.341201136456737,0.404529755154158,0.179003174286354,0.168856884487595,0.612846897302253,-0.208004630905549,-0.0902734640782363,0.168441903186358,-0.196666726887384,0.119023071806197,-0.146024787999462,0.109132467656208,-0.302025167988119,0.042015216594313,-0.127581089000734,-0.108876319008783,-0.439529879326434,-0.765867246675955,0.402222859352249,-0.351814449587819,-0.130382764397885,-0.106137161725666,-0.220505438130202,0.398454191616819,-0.21984511553072,-0.520130706940261,-0.650186195232193,0.497968286030711,0.251805485900646,-0.119793945602951,-0.508240938763655,0.36554746460457,-0.324078758520134,-0.126487526058086,0.126546823388284,-0.428466686377303,-0.459260026406573,-0.310707244931191,-0.0855388056419732,0.686151638363734,-0.149539720514671,-0.302493138227837,-0.139361769569165,-0.310466631474428,-0.17310895579864
"7","UBE2J2",0.13703563467294,0.0835637773000169,0.604713561489546,0.765477375435758,0.752849290632647,1.63984845188112,0.959353354019247,1.1468456796265,0.332434945444563,0.130763390327326,0.518755183767105,0.565801482828236,0.184343097745502,0.713049763368434,0.245311010847652,0.870642829161823,0.772997661918548,0.609203483054478,0.534298045158629,0.277101119551301,0.206272289087696,-0.0174778537423519,0.213702386405166,0.58263273404313,0.371103820096543,0.743288364346452,0.623602770685364,0.671398286347277,0.553268308433037,0.259579133393334,0.395637204426705,0.487265079402554,0.519218780119096,-0.0335953908248593,-0.166963406437241,0.0312471980427212,0.520763776088171,0.986807733653435,0.346896860067462,0.89889302487259,0.347328115272628,0.202419889110582,-0.261579184964148,0.404124842268583,0.0787007885342625,0.0795864760799146,0.48105433595808,-0.0722774471960507,-0.0245177818511184,0.12004764416338,0.452485846618486,0.51660178403314,0.517517869274758,0.440313645898223,0.633330060496778,0.553265984383529,0.658715883666799,0.717301316771699,0.302920994652837,0.158458727234124,0.0366506906101494,0.230996490859228,0.149357838235929,0.20579181470788,0.139872766840637,0.11949152573505,0.082419950405383,0.134802077947119,0.180475069824163,0.27098097337533,-0.0290198982555206,-0.186725422638865,0.191215565452066,0.0437830615047292,0.02482218082579,0.0306419117185043,0.606581035593974,0.193932442523216,0.0497020425859911,-0.0379131913582809,0.219046388869864,0.339529885272088,0.215573546862387,-0.264184254328079,0.527161103714578,0.0420516345566372,0.222343315479974,-0.083929721160344,0.296351660405318,-0.0998783536502134,0.0243897950290115,0.163172421557595,0.520049931490043,0.284474429910644,0.225810344187166,0.360256859195787,0.177812564043154,0.170889171401392
"8","ACAP3",-1.89905872213967,-2.13912454147253,-0.33108158144991,-0.502067923520006,-0.0713336431730264,0.216640830591889,-1.3788908240978,-0.4486224778393,-0.631779812468082,-0.942553389123429,0.0565292493786177,-0.575654585506092,-0.716810566721857,-0.813598826124713,-3.87234203639409,0.0448259818002615,-0.291171513920548,-0.252697278210771,-0.546636753400024,-0.400585627049528,-2.57214166024773,-2.37089387977312,-1.28549346007587,-0.540495252423385,-0.545141582334971,-0.0354082104324468,-0.312311584911728,-0.412866297522349,-0.666874381479516,-0.178032096058543,-0.721833236638296,-0.284517289170813,-0.566313607645349,0.388561700572397,-0.000611779914967551,-0.312487184665567,-0.727500965658182,-1.32768005347683,-3.38445509058919,-4.09649328506333,-0.990570849444432,-0.470227286837443,-1.39362287874578,-0.143114546085782,-1.35284976221345,-0.86681884512451,-4.32255635275848,-1.59057047107952,-0.794359554426593,-4.57431187745245,-1.18739862178446,-0.95842311527084,-1.323652252551,-0.878304602046758,-1.03386267868649,-1.44687206062688,-1.38683348389788,-1.21987169034392,-1.68228762230555,-1.68693283345916,-1.52462691243762,-1.94749198644289,-6.13722135287019,-1.45860316358542,-2.12657881393558,-1.69390390918503,-1.09230832531,-1.44097014019597,-1.44908905973637,-1.89221450117932,-6.26754544493227,-0.990564231914679,-0.780934559562613,-5.79410466573984,-0.951941528908292,-1.43180771501824,-0.8170679665558,-1.53951601845687,-6.04861780013721,-2.16303330521028,-1.08316277771409,-4.97260966641985,-1.58587603009549,-5.60852359599522,-5.57053890907091,-6.10457468502921,-1.84449255361941,-1.73448724619594,-1.78595274167978,-1.68146037728924,-2.0091326295221,-1.27645131668753,-5.37356673253173,-2.22291857493462,-1.84646191657671,-1.830417503653,-1.44875826045609,-1.62880972119347
"9","PUSL1",-0.423765067295791,-0.5535333653492,0.509206272084096,0.573185149773892,0.489316597166356,1.16844982784255,0.361165433796886,0.820759125041756,0.0313635546853886,-0.0358272419010092,-0.202242648307803,-0.104023363451653,-0.377586428702174,0.423346159772965,-0.40464699652302,0.232213561051762,-0.123854181262201,-0.0340908650256727,0.0456600256819436,0.366943288378682,-0.289306200652449,-2.63782438600817,0.265428780596879,-0.336017595275691,-0.426629603263639,0.0213085994295253,-0.0306550364874136,-0.207141618005297,-0.370642891985867,-0.0798233650626362,-0.519837829666581,0.0134632968891695,-0.619081719910407,1.37570215314585,1.15909136267691,0.798726169116524,0.149628481303747,0.337140603789999,0.315359483005527,0.124194865959698,0.21211211804065,0.1099212497744,-1.08936901277319,0.248910775108078,-0.570441417267761,-0.298317602356082,-0.218515736762277,-1.27239165593207,-0.41308760868145,-0.0742312378652445,-0.0269752177584201,0.0825355233326809,0.14104131486645,-0.0656349198126201,0.213096469036455,0.0210507462076838,0.221093228972754,0.368893874268867,-0.0333204268647191,-0.0124634771833179,-0.126946871867757,-0.298620925722968,0.0898735154387001,-0.108965704508592,-0.141590411190965,-0.256750435254139,-0.0364132734114582,-0.0513245841363589,-0.342323798238814,-0.300740803961046,-0.160293501988345,0.30269149519839,0.0627010612367716,-0.00647763164572703,-0.00111691475654709,-0.391176537697229,0.672500366493043,-0.250565966740356,0.0305952292005889,-0.476887129014476,0.410791942629364,0.371573773841802,-0.124597711114165,0.260567531652987,0.0846651416004587,-0.132916453899563,-0.187046180727032,-0.217859540380066,-0.418508572287651,-0.273395871704284,-0.260244124632986,-0.113120905906613,0.451638664727928,-0.0266768164755776,-0.114514958255894,-0.0388938411655148,-0.255403051175698,-0.171951712920494
"10","INTS11",-0.681327371433169,-0.710901063091772,0.86117874639346,1.04698549086618,0.87122309810903,1.4425049569153,0.654288605006439,0.997699581567506,0.291198006933737,0.189909540656501,-0.16971940702566,0.389915442812256,0.0604873333190953,0.343693624061292,0.3880034372893,0.290763340297577,0.299652227609691,0.376016842685824,0.527046411176939,0.15469085531891,-0.683442490343903,-0.254338149543066,0.0271427275948664,0.541248952298873,0.166334356427506,0.691315181126789,0.795471917712856,0.588328894588876,0.316267094167049,0.54401121549674,0.204357571487363,0.608441803493398,0.192146526360213,0.873394106447454,0.356720704875459,0.41637842676283,-0.0525337610779173,0.103015573455323,0.314814582015985,0.155226731637268,0.354981607506647,-0.232788749122605,-0.572713576294404,-0.125932636282345,-0.406694967341842,0.349183129235283,0.343976315709773,-0.371315648998057,0.345204534683818,0.134371029571925,0.0202910907779276,0.16254245020542,0.116054150603141,0.238522782465258,0.279981165547446,0.220682680082983,0.302057607393028,0.39872328195987,-0.567847352559408,-0.00974524865936846,-0.343287497849566,-0.361885493269195,-0.345883929044195,-0.663941969345994,-0.523296528756887,-0.640971348903943,-0.270326449969123,-0.296534785485044,-0.347228980588504,-0.747651242432103,-0.293074331286781,-0.039834198617462,-0.264269892839955,-0.23317389429333,-0.338138115788848,-0.556440389093362,-0.327062787813144,-0.475162020563133,-0.176273900183731,-0.582007005058996,-0.420721171525795,-0.143948992426902,-0.463326526613937,-0.0937739824778773,0.301568003531521,-0.139746813665546,-0.568827567531349,-0.479953516471965,-0.79919701553113,-0.625281126466918,-0.198456636052833,-0.508617948407101,-0.261521044791004,-0.106305747513296,0.151621331433012,0.22372221649122,0.101632661156928,0.165655614742726
